accX,accY,accZ,acc_time
0.06855714172124863,-0.08089183400385082,0.009298827052116395,0.003437041654251516
0.020768885160796346,-0.04645752620883286,0.01022853434085846,0.013457041670335457
-0.023436170239001512,-0.021664290307089686,-0.0105466228723526,0.023477041657315567
-0.061622490137815476,0.00958929662592709,-0.01290948271751404,0.033496041665785015
-0.08393825163133443,0.03545445506460965,0.007470402717590333,0.043516041652765125
-0.09922540409490467,0.050648143440485,-0.003889567852020264,0.05353504166123457
-0.07964258551597596,0.05406950463540852,-0.004029901027679444,0.06355504164821468
-0.0408056075591594,0.06130780030041933,0.0025593262910842897,0.07357504166429862
-0.03788316917605698,0.09227752318605781,0.00329666018486023,0.08359404167276807
-0.004812267618253828,0.08689083058387041,0.004502940773963928,0.09361404165974818
0.026798026878386737,0.05465449115261436,-0.008568509817123414,0.10363304166821763
0.03881359366234392,0.010938696954399347,-0.006764059066772461,0.11365304165519774
0.038312619756907224,-0.02733982622623444,-0.0025523096323013307,0.12367304167128168
0.024961254273075613,-0.05694919439032674,-0.008612948656082154,0.1336920416506473
0.009780631911708042,-0.0782073498889804,0.00409889817237854,0.14371204166673124
-0.008040767769562081,-0.08639813871122898,-0.003189656138420105,0.15373204165371135
-0.009461046173237264,-0.06946477577090264,-0.006686291098594666,0.1637510416621808
0.0054217667598277335,-0.042650230508297686,-0.003254560232162476,0.1737710416491609
0.014215937987901271,-0.021293969694525003,0.009354960322380066,0.18379004165763035
0.023262795726768672,0.013615168556571007,0.002106751799583435,0.1938100416737143
0.03404124699532986,0.027994485972449183,0.005213962197303772,0.2038300416606944
0.03437617824878544,0.030715725319460038,-0.004129888415336609,0.21384904166916385
0.03431566413491965,0.02754869059659541,-1.2279152870178224e-05,0.22386904165614396
0.027834253991022708,0.011907607996836305,-0.005476502180099488,0.2338880416646134
0.020775403892621398,-0.008711136197671294,0.011781554818153381,0.24390804165159352
0.015503398943692447,-0.03049238909035921,0.0002607858180999756,0.25392804166767746
0.010695274625904859,-0.03851303307339549,-0.013678391575813294,0.2639470416470431
0.01662619682494551,-0.05564264318905771,-0.009532715678215028,0.273967041663127
0.011424874663352966,-0.0477081816829741,-0.011365817785263061,0.28398704165010713
0.017568895895965397,-0.0253271506447345,-0.007047649025917054,0.2940060416585766
0.015738182924687864,-0.006966281365603209,-0.007358136177062989,0.3040260416746605
-0.0006699858466163278,0.013497785702347756,-0.0025651735067367554,0.31404504165402614
-0.021900549796409905,0.025040883757174018,0.00014559566974639893,0.3240650416701101
-0.02328871076926589,0.029932527327910068,-0.0010226780176162721,0.3340850416570902
-0.01763019572943449,0.014170891586691142,0.0009542655944824219,0.34410404166555963
-0.012554131890647115,0.01325789454393089,-0.004402368664741516,0.35412404165253974
0.0011033970024436712,0.011351720513775945,0.007299079298973084,0.3641430416610092
0.0144460579007864,0.0005465410742908716,0.0070154893398284915,0.3741630416479893
